Date,GDX,QQQ,VNQ,VOX,XLE,XLF,XLI,XLP,XLU,XLV,XLY,DGS10
2021-01-04,36.616981506347656,303.4782409667969,73.74266052246094,115.00645446777344,33.550235748291016,27.46821975708008,82.35482025146484,61.79269409179688,55.69883346557617,107.79754638671876,155.7399139404297,0.93
2021-01-05,36.60747528076172,305.98016357421875,73.85034942626953,115.60889434814452,35.05274963378906,27.591012954711918,83.1649169921875,61.79269409179688,55.68973159790039,108.58015441894533,156.90245056152344,0.96
2021-01-06,36.56944274902344,301.7416076660156,73.97599029541016,115.560302734375,36.12218475341797,28.80951499938965,85.14730834960938,61.83900451660156,57.07490921020508,110.06897735595705,158.5045623779297,1.04
2021-01-07,36.483863830566406,309.0414123535156,73.8323974609375,117.309326171875,36.652488708496094,29.22513198852539,85.61432647705078,61.653770446777344,56.32764053344727,111.50055694580078,161.56236267089844,1.08
2021-01-08,34.72480392456055,313.0150146484375,74.55035400390625,117.7465591430664,36.60829162597656,29.20623779296875,85.4046630859375,61.95940017700195,56.801517486572266,112.0350112915039,164.8936309814453,1.13
2021-01-11,34.02117919921875,308.4919128417969,73.56317138671875,116.2113265991211,37.18278121948242,29.30069351196289,85.37606048583984,61.43149185180664,56.2729606628418,112.5599365234375,161.81634521484375,1.15
2021-01-12,34.268402099609375,308.0013732910156,73.73368835449219,115.074462890625,38.48201370239258,29.60296058654785,86.22429656982422,61.22773742675781,55.97222900390625,111.33832550048828,164.2879180908203,1.15
2021-01-13,33.888065338134766,310.081298828125,74.63111114501953,114.92872619628906,38.18151092529297,29.584068298339844,85.48088836669922,61.32036209106445,57.06579208374024,111.64372253417967,164.27813720703125,1.10
2021-01-14,33.85953903198242,308.4232177734375,75.07086181640625,114.38458251953124,39.31281661987305,29.71630477905273,85.7763442993164,60.99619674682617,56.84707260131836,111.29058074951172,163.23284912109375,1.15
2021-01-15,32.81360626220703,305.98016357421875,75.93241119384766,114.38458251953124,37.78378677368164,29.22513198852539,84.66123962402344,60.78318786621094,57.40298080444336,111.63416290283205,161.97265625,1.11
2021-01-19,33.155914306640625,310.4443664550781,75.71701049804688,116.28904724121094,38.54388046264648,29.30069351196289,84.93763732910156,60.51460647583008,57.18426132202149,112.47403717041016,162.8909454345703,1.10
2021-01-20,34.268402099609375,317.6656188964844,77.16191101074219,119.68988800048828,38.68529510498047,29.17790031433105,85.46183013916016,60.62574005126953,57.521446228027344,113.09439086914062,165.96820068359375,1.10
2021-01-21,33.95462417602539,320.20672607421875,76.7939453125,119.92308807373048,37.37722396850586,28.866193771362305,84.794677734375,60.42198181152344,57.18426132202149,112.5599365234375,166.73995971679688,1.12
2021-01-22,33.49821853637695,319.2844543457031,76.97343444824219,120.03968048095705,37.18278121948242,28.65838432312012,84.35626220703125,60.2645378112793,57.26628112792969,112.22589111328124,166.1733856201172,1.10
2021-01-25,33.460182189941406,321.9237976074219,77.5567626953125,120.79756927490234,36.802734375,28.450578689575195,83.78441619873047,60.86654281616211,58.41451644897461,112.96076965332033,166.788818359375,1.05
2021-01-26,33.36509704589844,322.39471435546875,78.10420989990234,121.72067260742188,36.0161247253418,28.223878860473636,83.01243591308594,61.41297149658203,57.83129119873047,112.54083251953124,166.68136596679688,1.05
2021-01-27,32.08146286010742,313.40740966796875,76.72216033935547,117.64938354492188,35.530025482177734,27.392654418945312,81.36363220214844,60.37567901611328,56.2729606628418,109.1241455078125,161.5428009033203,1.04
2021-01-28,32.88017272949219,315.2618103027344,77.13497924804688,118.65992736816406,35.94541931152344,27.902727127075195,82.57402801513672,60.60721969604492,56.94733047485352,110.7179718017578,162.05081176757812,1.07
2021-01-29,32.81360626220703,308.6292419433594,76.24651336669922,116.57083892822266,34.75223922729492,27.34542655944824,80.79177856445312,59.35690689086914,56.637481689453125,109.78268432617188,158.2701416015625,1.11
2021-02-01,33.92609405517578,316.3410949707031,77.98753356933594,118.92227935791016,34.999725341796875,27.70436286926269,81.63047790527344,59.41249465942383,56.91087341308594,110.20259857177734,162.38296508789062,1.09
2021-02-02,32.9182014465332,321.5018615722656,78.45420837402344,120.93362426757812,35.379764556884766,28.3750114440918,83.36507415771484,59.81072998046875,57.375633239746094,110.51754760742188,165.83145141601562,1.12
2021-02-03,32.908695220947266,320.2263488769531,78.25675964355469,122.7312240600586,36.89112091064453,28.53558921813965,83.42225646972656,59.903350830078125,57.19337844848633,109.73495483398438,164.9033966064453,1.15
2021-02-04,32.176544189453125,324.0136108398437,78.79524230957031,123.71259307861328,37.29767608642578,29.168455123901367,84.31814575195312,60.33863830566406,57.63991165161133,110.19305419921876,166.66184997558594,1.15
2021-02-05,32.908695220947266,325.11248779296875,79.07344055175781,125.36443328857422,37.61585998535156,29.17790031433105,84.81372833251953,60.903594970703125,57.94975662231445,110.39347076416016,168.2541961669922,1.19
2021-02-08,33.488712310791016,327.2906494140625,79.50421142578125,126.12232971191406,39.18907928466797,29.55573081970215,85.5380630493164,61.13512802124024,57.50321960449219,110.52709197998048,169.21157836914062,1.19
2021-02-09,33.45067596435547,327.22198486328125,79.78241729736328,126.43325805664062,38.7736701965332,29.56517219543457,85.75727844238281,61.07955551147461,57.585235595703125,110.68933868408205,168.2737579345703,1.18
2021-02-10,33.54575729370117,326.476318359375,80.21318817138672,127.25916290283205,39.516090393066406,29.56517219543457,85.62384796142578,61.01472473144531,57.81306457519531,110.88976287841795,166.61300659179688,1.15
